0.630082,1.983675,TARGET_FOLLOW,FOLLOW
0.639367,1.978035,TARGET_FOLLOW,FOLLOW
0.648478,1.971909,TARGET_FOLLOW,FOLLOW
0.657456,1.965490,TARGET_FOLLOW,FOLLOW
0.666295,1.958906,TARGET_FOLLOW,FOLLOW
0.674727,1.952426,TARGET_FOLLOW,FOLLOW
0.683102,1.945831,TARGET_FOLLOW,FOLLOW
0.691517,1.939096,TARGET_FOLLOW,FOLLOW
0.699941,1.932273,TARGET_FOLLOW,FOLLOW
0.708317,1.925407,TARGET_FOLLOW,FOLLOW
0.716597,1.918527,TARGET_FOLLOW,FOLLOW
0.724529,1.911828,TARGET_FOLLOW,FOLLOW
0.732431,1.905048,TARGET_FOLLOW,FOLLOW
0.740378,1.898146,TARGET_FOLLOW,FOLLOW
0.748083,1.891390,TARGET_FOLLOW,FOLLOW
0.755808,1.884554,TARGET_FOLLOW,FOLLOW
0.763646,1.877583,TARGET_FOLLOW,FOLLOW
0.771567,1.870513,TARGET_FOLLOW,FOLLOW
0.779501,1.863390,TARGET_FOLLOW,FOLLOW
0.787382,1.856245,TARGET_FOLLOW,FOLLOW
0.794943,1.849295,TARGET_FOLLOW,FOLLOW
0.802494,1.842251,TARGET_FOLLOW,FOLLOW
0.810109,1.835068,TARGET_FOLLOW,FOLLOW
0.817492,1.828036,TARGET_FOLLOW,FOLLOW
0.824909,1.820906,TARGET_FOLLOW,FOLLOW
0.832448,1.813621,TARGET_FOLLOW,FOLLOW
0.839956,1.806337,TARGET_FOLLOW,FOLLOW
0.845888,1.797871,TARGET_FOLLOW,FOLLOW
0.850262,1.788691,TARGET_FOLLOW,FOLLOW
0.853558,1.779381,OBSTACLE_AND_TARGET_DETECTED,AVOID
0.855570,1.772399,TARGET_FOLLOW,FOLLOW
0.862178,1.765640,TARGET_FOLLOW,FOLLOW
0.868318,1.757914,OBSTACLE_AND_TARGET_DETECTED,AVOID
0.871761,1.751507,TARGET_FOLLOW,FOLLOW
0.880855,1.745172,TARGET_FOLLOW,FOLLOW
0.890598,1.738652,TARGET_FOLLOW,FOLLOW
0.898580,1.732413,TARGET_FOLLOW,FOLLOW
0.904702,1.724553,TARGET_FOLLOW,FOLLOW
0.909073,1.715784,TARGET_FOLLOW,FOLLOW
0.912296,1.706602,TARGET_FOLLOW,FOLLOW
0.914803,1.697247,TARGET_FOLLOW,FOLLOW
0.916867,1.687844,OBSTACLE_AND_TARGET_DETECTED,AVOID
0.918240,1.680700,TARGET_FOLLOW,FOLLOW
0.924067,1.673630,TARGET_FOLLOW,FOLLOW
0.929511,1.665756,OBSTACLE_AND_TARGET_DETECTED,AVOID
0.932601,1.659168,TARGET_FOLLOW,FOLLOW
0.942306,1.651689,TARGET_FOLLOW,FOLLOW
0.952571,1.644014,TARGET_FOLLOW,FOLLOW
0.960132,1.637432,TARGET_FOLLOW,FOLLOW
0.965761,1.629369,TARGET_FOLLOW,FOLLOW
0.969724,1.620241,TARGET_FOLLOW,FOLLOW
0.972508,1.610655,TARGET_FOLLOW,FOLLOW
0.974506,1.601099,TARGET_FOLLOW,FOLLOW
0.976061,1.591511,TARGET_FOLLOW,FOLLOW
0.977350,1.581859,OBSTACLE_AND_TARGET_DETECTED,AVOID
0.978190,1.574638,TARGET_FOLLOW,FOLLOW
0.983752,1.566831,TARGET_FOLLOW,FOLLOW
0.988785,1.558360,OBSTACLE_AND_TARGET_DETECTED,AVOID
0.991449,1.551584,TARGET_FOLLOW,FOLLOW
1.000813,1.543380,TARGET_FOLLOW,FOLLOW
1.010548,1.535040,TARGET_FOLLOW,FOLLOW
1.017901,1.527672,TARGET_FOLLOW,FOLLOW
1.023210,1.518853,TARGET_FOLLOW,FOLLOW
1.026734,1.509018,TARGET_FOLLOW,FOLLOW
1.029010,1.498766,TARGET_FOLLOW,FOLLOW
1.030467,1.488639,TARGET_FOLLOW,FOLLOW
1.031466,1.478495,OBSTACLE_AND_TARGET_DETECTED,AVOID
1.031990,1.471176,TARGET_FOLLOW,FOLLOW
1.037472,1.462703,TARGET_FOLLOW,FOLLOW
1.042426,1.453275,OBSTACLE_AND_TARGET_DETECTED,AVOID
1.044744,1.446283,TARGET_FOLLOW,FOLLOW
1.053435,1.437730,TARGET_FOLLOW,FOLLOW
1.061497,1.430071,TARGET_FOLLOW,FOLLOW
1.067305,1.420754,TARGET_FOLLOW,FOLLOW
1.070935,1.410640,TARGET_FOLLOW,FOLLOW
1.073175,1.400173,TARGET_FOLLOW,FOLLOW
